yellow,green,red,white,season,,,,,,,,
6.878192021,10.0289403,13.27945678,6.239242434,summer,,,,,,,,
6.555632817,9.63369002,13.08886831,8.261063174,fall,,,,,,,,
12.97818421,16.20854576,13.14745255,12.18711985,winter,,,,,,,,
11.55995387,11.6860191,12.36863824,7.61417602,spring,,,,,,,,
5.042357107,9.885585483,12.60106845,5.825961987,summer,,,,,,,,
8.608560917,9.014063844,13.35366199,6.521070303,fall,,,,,,,,
16.47882349,12.97231695,13.1922218,12.00897001,winter,,,,,,,,
13.14576977,12.26225276,12.69290504,7.307652514,spring,,,,,,,,
,,,,,,,,,,,,
6.570211708,12.03285908,12.9924471,7.81522898,summer,,,,,,,,
6.365052661,11.44206616,12.54615901,6.993560275,fall,,,,,,,,
12.05853508,11.77944693,17.75692777,11.68725514,winter,,,,,,,,
10.89646983,11.48618287,18.15783171,8.462649603,spring,,,,,,,,
5.701108151,10.88667343,15.78186816,8.055113882,summer,,,,,,,,
5.707879711,10.99441654,14.02932742,7.782987647,fall,,,,,,,,
13.52729382,11.02695215,15.63320322,12.04763247,winter,,,,,,,,
13.5671796,10.10781628,16.22712161,9.031650996,spring,,,,,,,,
,,,,,,,,,,,,
11.40231152,11.09737029,15.3308863,7.126081702,summer,,,,,,,,
6.101434598,8.978018962,12.89701447,7.731900106,fall,,,,,,,,
16.37491685,16.44625082,18.98568702,13.99302643,winter,,,,,,,,
13.79111776,13.44117624,15.07133401,8.828402293,spring,,,,,,,,
11.35644435,11.73062946,14.81867698,6.60351935,summer,,,,,,,,
5.798028058,10.35860762,15.76514869,7.075926728,fall,,,,,,,,
14.06146699,15.00473058,15.7375628,12.2585258,winter,,,,,,,,
15.08040826,12.61522241,16.35550914,10.16805087,spring,,,,,,,,
,,,,,,,,,,,,
8.510066294,9.891195729,16.04132129,7.921129622,summer,,,,,,,,
12.86607665,13.12028254,16.5454029,10.13832118,fall,,,,,,,,
16.06693964,15.31176094,18.95419111,14.73146066,winter,,,,,,,,
14.12418226,12.67499077,16.99495848,8.604417846,spring,,,,,,,,
5.340891158,8.473892392,18.64783912,6.468522885,summer,,,,,,,,
7.609833246,8.408507573,18.64156199,7.454440447,fall,,,,,,,,
10.74471796,13.98322626,17.82459263,9.98874396,winter,,,,,,,,
11.49004619,10.70141427,17.56736939,9.171826918,spring,,,,,,,,
,,,,,,,,,,,,
4.97270703,9.483215666,8.975104205,5.947924694,summer,,,,,,,,
7.260496773,9.315446596,11.37255966,7.280097704,fall,,,,,,,,
16.37093067,15.71043379,18.67038716,14.52238236,winter,,,,,,,,
10.28634639,11.42028946,13.29057026,8.996178784,spring,,,,,,,,
5.414227381,9.928369623,12.59989706,6.276512154,summer,,,,,,,,
5.515362806,10.01346645,12.81837406,6.348705418,fall,,,,,,,,
11.32998396,12.45587672,14.71528793,13.30482639,winter,,,,,,,,
10.90442924,10.78806688,13.82761937,9.267289495,spring,,,,,,,,
,,,,,,,,,,,,
7.32861184,9.863024837,11.94896,5.558356613,summer,,,,,,,,
10.3352873,8.705445498,11.12918468,5.930224547,fall,,,,,,,,
14.81228121,14.4614933,16.24403631,13.1818926,winter,,,,,,,,
15.75121629,9.261258014,14.94159177,9.33859622,spring,,,,,,,,
5.591538085,8.304489752,14.55077423,6.405755734,summer,,,,,,,,
5.474482992,8.761937316,12.69892216,6.827484065,fall,,,,,,,,
15.39978769,13.0636092,15.61900193,9.739014123,winter,,,,,,,,
15.27144241,10.55271014,13.95916905,8.546383913,spring,,,,,,,,
,,,,,,,,,,,,
6.572011158,8.938439113,11.60460721,5.540161264,summer,,,,,,,,
5.315425448,8.814863512,11.60344013,6.369270763,fall,,,,,,,,
21.63371008,16.13901336,14.56077524,18.48170967,winter,,,,,,,,
16.38638767,11.97559017,15.31634398,8.787506845,spring,,,,,,,,
5.198573579,10.15019112,15.20913539,6.116790312,summer,,,,,,,,
5.38083717,8.899616829,11.16541926,6.069528131,fall,,,,,,,,
15.51334414,12.373312,17.40849747,9.366007481,winter,,,,,,,,
13.77854016,12.43834353,15.81038749,7.126536366,spring,,,,,,,,
